tweet_id,favorites,retweets,user_followers,user_favourites,date_time
892420643555336193,38221,8374,7431629,139602,2017-08-01 16:23:56
892177421306343426,32767,6182,7431629,139602,2017-08-01 00:17:27
891815181378084864,24674,4091,7431629,139602,2017-07-31 00:18:03
891689557279858688,41551,8512,7431630,139602,2017-07-30 15:58:51
891327558926688256,39737,9218,7431630,139602,2017-07-29 16:00:24
891087950875897856,19946,3065,7431630,139602,2017-07-29 00:08:17
890971913173991426,11670,2034,7431630,139602,2017-07-28 16:27:12
890729181411237888,64506,18583,7431630,139602,2017-07-28 00:22:40
890609185150312448,27415,4207,7431630,139602,2017-07-27 16:25:51
890240255349198849,31455,7275,7431630,139602,2017-07-26 15:59:51
890006608113172480,30242,7221,7431630,139602,2017-07-26 00:31:25
889880896479866881,27397,4900,7431630,139602,2017-07-25 16:11:53
889665388333682689,47439,9904,7431630,139602,2017-07-25 01:55:32
889638837579907072,26784,4477,7431630,139602,2017-07-25 00:10:02
889531135344209921,14888,2208,7431630,139602,2017-07-24 17:02:04
889278841981685760,24898,5300,7431630,139602,2017-07-24 00:19:32
888917238123831296,28676,4427,7431630,139602,2017-07-23 00:22:39
888804989199671297,25204,4234,7431630,139602,2017-07-22 16:56:37
888554962724278272,19556,3498,7431630,139602,2017-07-22 00:23:06
888078434458587136,21450,3445,7431630,139602,2017-07-20 16:49:33
887705289381826560,29745,5308,7431630,139602,2017-07-19 16:06:48
887517139158093824,45619,11493,7431630,139602,2017-07-19 03:39:09
887473957103951883,68114,17913,7431630,139602,2017-07-19 00:47:34
887343217045368832,33208,10247,7431630,139602,2017-07-18 16:08:03
887101392804085760,30132,5875,7431630,139602,2017-07-18 00:07:08
886983233522544640,34671,7657,7431630,139602,2017-07-17 16:17:36
886736880519319552,11879,3232,7431630,139602,2017-07-16 23:58:41
886680336477933568,22120,4396,7431630,139602,2017-07-16 20:14:00
886366144734445568,20885,3152,7431630,139602,2017-07-15 23:25:31
886267009285017600,116,4,7431630,139602,2017-07-15 16:51:35
886258384151887873,27600,6189,7431630,139602,2017-07-15 16:17:19
886054160059072513,0,105,7431630,139602,2017-07-15 02:45:48
885984800019947520,32212,6696,7431630,139602,2017-07-14 22:10:11
885528943205470208,35476,6333,7431630,139602,2017-07-13 15:58:47
885518971528720385,20148,3705,7431630,139602,2017-07-13 15:19:09
885311592912609280,0,18306,7431630,139602,2017-07-13 01:35:06
885167619883638784,21619,4320,7431630,139602,2017-07-12 16:03:00
884925521741709313,76394,18039,7431630,139602,2017-07-12 00:01:00
884876753390489601,27539,5582,7431630,139602,2017-07-11 20:47:12
884562892145688576,23971,4682,7431630,139602,2017-07-11 00:00:02
884441805382717440,26620,5575,7431630,139602,2017-07-10 15:58:53
884247878851493888,72025,20169,7431630,139602,2017-07-10 03:08:17
884162670584377345,20084,2946,7431630,139602,2017-07-09 21:29:42
883838122936631299,21600,3399,7431630,139602,2017-07-09 00:00:04
883482846933004288,45291,9814,7431630,139602,2017-07-08 00:28:19
883360690899218434,22260,3626,7431630,139602,2017-07-07 16:22:55
883117836046086144,36686,6580,7431630,139602,2017-07-07 00:17:54
882992080364220416,23641,3867,7431630,139602,2017-07-06 15:58:11
882762694511734784,27931,4852,7431630,139602,2017-07-06 00:46:41
882627270321602560,27527,6001,7431630,139602,2017-07-05 15:48:34
882268110199369728,44365,11440,7431630,139602,2017-07-04 16:01:23
882045870035918850,28972,4906,7431630,139602,2017-07-04 01:18:17
881906580714921986,23988,3349,7431630,139602,2017-07-03 16:04:48
881666595344535552,49916,10521,7431630,139602,2017-07-03 00:11:11
881633300179243008,124,7,7431630,139602,2017-07-02 21:58:53
881536004380872706,48796,15735,7431630,139602,2017-07-02 15:32:16
881268444196462592,22780,5100,7431630,139602,2017-07-01 21:49:04
880935762899988482,16791,2749,7431630,139602,2017-06-30 23:47:07
880872448815771648,20993,3768,7431630,139602,2017-06-30 19:35:32
880465832366813184,28155,6196,7431630,139602,2017-06-29 16:39:47
880221127280381952,26715,4165,7431630,139602,2017-06-29 00:27:25
880095782870896641,27273,4304,7431630,139602,2017-06-28 16:09:20
879862464715927552,22028,3454,7431630,139602,2017-06-28 00:42:13
879674319642796034,309,10,7431630,139602,2017-06-27 12:14:36
879492040517615616,23117,3144,7431630,139602,2017-06-27 00:10:17
879415818425184262,104488,43662,7431630,139602,2017-06-26 19:07:24
879376492567855104,16556,3080,7431630,139602,2017-06-26 16:31:08
879130579576475649,0,6743,7431630,139602,2017-06-26 00:13:58
879050749262655488,22277,4666,7431630,139602,2017-06-25 18:56:45
879008229531029506,18739,2664,7431630,139602,2017-06-25 16:07:47
878776093423087618,19166,4081,7431630,139602,2017-06-25 00:45:22
878604707211726852,29893,7116,7432289,139603,2017-06-24 13:24:20
878404777348136964,0,1274,7431630,139602,2017-06-24 00:09:53
878316110768087041,0,6580,7431630,139602,2017-06-23 18:17:33
878281511006478336,7651,1274,7431630,139602,2017-06-23 16:00:04
878057613040115712,41502,6743,7431630,139602,2017-06-23 01:10:23
877736472329191424,78798,18872,7431630,139602,2017-06-22 03:54:17
877611172832227328,0,80,7431630,139602,2017-06-21 19:36:23
877556246731214848,22438,3767,7431630,139602,2017-06-21 15:58:08
877316821321428993,27026,5119,7431630,139602,2017-06-21 00:06:44
877201837425926144,26777,5524,7431630,139602,2017-06-20 16:29:50
876838120628539392,20424,3311,7431630,139602,2017-06-19 16:24:33
876537666061221889,23211,4579,7431630,139602,2017-06-18 20:30:39
876484053909872640,18531,2375,7431630,139602,2017-06-18 16:57:37
876120275196170240,27574,4650,7431630,139602,2017-06-17 16:52:05
875747767867523072,24885,4255,7431630,139602,2017-06-16 16:11:53
875144289856114688,21660,4882,7431630,139602,2017-06-15 00:13:52
875097192612077568,27085,5992,7431630,139602,2017-06-14 21:06:43
875021211251597312,25171,4676,7431630,139602,2017-06-14 16:04:48
874680097055178752,27517,4608,7431630,139602,2017-06-13 17:29:20
874434818259525634,0,14627,7431630,139602,2017-06-13 01:14:41
874296783580663808,25766,4080,7431630,139602,2017-06-12 16:06:11
874057562936811520,22399,3929,7431630,139602,2017-06-12 00:15:36
874012996292530176,34219,10339,7431630,139602,2017-06-11 21:18:31
873580283840344065,23949,3921,7431630,139602,2017-06-10 16:39:04
873337748698140672,0,1580,7431630,139602,2017-06-10 00:35:19
873213775632977920,7161,1580,7431630,139602,2017-06-09 16:22:42
872967104147763200,27097,5379,7431630,139602,2017-06-09 00:02:31
872820683541237760,14571,3680,7431630,139602,2017-06-08 14:20:41
872620804844003328,20597,3682,7431630,139602,2017-06-08 01:06:27
872486979161796608,40299,8972,7431630,139602,2017-06-07 16:14:40
872261713294495745,33902,6296,7431630,139602,2017-06-07 01:19:32
872122724285648897,34145,8096,7431630,139602,2017-06-06 16:07:15
871879754684805121,37661,11148,7431630,139602,2017-06-06 00:01:46
871762521631449091,20112,3469,7431630,139602,2017-06-05 16:15:56
871515927908634625,20062,3447,7431630,139602,2017-06-04 23:56:03
871166179821445120,0,5694,7431630,139602,2017-06-04 00:46:17
871102520638267392,20780,5496,7431631,139602,2017-06-03 20:33:19
871032628920680449,22514,3814,7431631,139602,2017-06-03 15:55:36
870804317367881728,33399,6205,7431631,139602,2017-06-03 00:48:22
870726314365509632,119,3,7431631,139602,2017-06-02 19:38:25
870656317836468226,12340,2649,7431631,139602,2017-06-02 15:00:16
870374049280663552,82253,26238,7431631,139602,2017-06-01 20:18:38
870308999962521604,21724,4160,7431631,139602,2017-06-01 16:00:09
870063196459192321,36501,8364,7431631,139602,2017-05-31 23:43:25
869772420881756160,42231,10060,7431631,139602,2017-05-31 04:27:59
869702957897576449,28132,6366,7431631,139602,2017-05-30 23:51:58
869596645499047938,15924,3141,7431631,139602,2017-05-30 16:49:31
869227993411051520,20369,3800,7431631,139602,2017-05-29 16:24:37
868880397819494401,65480,14566,7431631,139602,2017-05-28 17:23:24
868639477480148993,0,2109,7431631,139602,2017-05-28 01:26:04
868622495443632128,26826,5466,7431631,139602,2017-05-28 00:18:35
868552278524837888,10124,2109,7431631,139602,2017-05-27 19:39:34
867900495410671616,24167,4206,7431631,139602,2017-05-26 00:29:37
867774946302451713,33989,7396,7431631,139602,2017-05-25 16:10:44
867421006826221569,16116,2530,7431631,139602,2017-05-24 16:44:18
867072653475098625,0,122,7431631,139602,2017-05-23 17:40:04
867051520902168576,32263,7939,7431631,139602,2017-05-23 16:16:06
866720684873056260,20108,4863,7431631,139602,2017-05-22 18:21:28
866686824827068416,19360,3526,7431631,139602,2017-05-22 16:06:55
866450705531457537,122489,35651,7431631,139602,2017-05-22 00:28:40
866334964761202691,52729,14627,7431631,139602,2017-05-21 16:48:45
866094527597207552,0,8475,7431631,139602,2017-05-21 00:53:21
865718153858494464,25695,5683,7431631,139602,2017-05-19 23:57:46
865359393868664832,26573,5063,7431631,139602,2017-05-19 00:12:11
865006731092295680,28128,7783,7431631,139602,2017-05-18 00:50:50
864873206498414592,32434,8830,7431631,139602,2017-05-17 16:00:15
864279568663928832,14704,3084,7431631,139602,2017-05-16 00:41:21
864197398364647424,30313,9079,7431631,139602,2017-05-15 19:14:50
863907417377173506,20744,4211,7431631,139602,2017-05-15 00:02:33
863553081350529029,15395,4244,7431631,139602,2017-05-14 00:34:33
863471782782697472,0,2499,7431631,139602,2017-05-13 19:11:30
863432100342583297,23969,5350,7431631,139602,2017-05-13 16:33:49
863427515083354112,2279,99,7431632,139602,2017-05-13 16:15:35
863079547188785154,8828,1119,7431632,139602,2017-05-12 17:12:53
863062471531167744,8587,2499,7431632,139602,2017-05-12 16:05:02
862831371563274240,19313,5175,7431632,139602,2017-05-12 00:46:44
862722525377298433,17195,3590,7431632,139602,2017-05-11 17:34:13
862457590147678208,20713,5050,7431632,139602,2017-05-11 00:01:27
862096992088072192,75188,23756,7431632,139602,2017-05-10 00:08:34
861383897657036800,36392,10914,7431632,139602,2017-05-08 00:54:59
861288531465048066,17349,4242,7431632,139602,2017-05-07 18:36:02
861005113778896900,16875,3885,7431632,139602,2017-05-06 23:49:50
860981674716409858,0,2206,7431632,139602,2017-05-06 22:16:42
860924035999428608,0,842,7431632,139602,2017-05-06 18:27:40
860563773140209665,7584,2206,7431632,139602,2017-05-05 18:36:06
860524505164394496,23871,5395,7431632,139602,2017-05-05 16:00:04
860276583193509888,18498,3555,7431632,139602,2017-05-04 23:34:55
860184849394610176,16872,5967,7431632,139602,2017-05-04 17:30:24
860177593139703809,0,31604,7431632,139602,2017-05-04 17:01:34
859924526012018688,19779,4196,7431632,139602,2017-05-04 00:15:58
859851578198683649,15580,3596,7431632,139602,2017-05-03 19:26:06
859607811541651456,18815,1612,7431632,139602,2017-05-03 03:17:27
859196978902773760,91110,31001,7431632,139602,2017-05-02 00:04:57
859074603037188101,34334,13960,7431632,139602,2017-05-01 15:58:40
858860390427611136,0,8368,7431632,139602,2017-05-01 01:47:28
858843525470990336,15744,3567,7431632,139602,2017-05-01 00:40:27
858471635011153920,21794,4982,7431632,139602,2017-04-30 00:02:42
858107933456039936,15943,3001,7431632,139602,2017-04-28 23:57:28
857989990357356544,16355,2659,7431632,139602,2017-04-28 16:08:49
857746408056729600,34815,10963,7431632,139602,2017-04-28 00:00:54
857393404942143489,6003,1690,7431632,139602,2017-04-27 00:38:11
857263160327368704,20339,4659,7431632,139602,2017-04-26 16:00:39
857214891891077121,232,18,7431632,139602,2017-04-26 12:48:51
857062103051644929,0,177,7431632,139602,2017-04-26 02:41:43
857029823797047296,19262,4136,7431632,139602,2017-04-26 00:33:27
856602993587888130,0,11051,7431632,139602,2017-04-24 20:17:23
856543823941562368,16549,2977,7431632,139602,2017-04-24 16:22:16
856526610513747968,12049,1942,7431632,139602,2017-04-24 15:13:52
856330835276025856,0,702,7431632,139602,2017-04-24 02:15:55
856288084350160898,527,17,7431632,139602,2017-04-23 23:26:03
856282028240666624,28237,6539,7431632,139602,2017-04-23 23:01:59
855862651834028034,352,28,7431632,139602,2017-04-22 19:15:32
